Date,iOS 8.0 Sessions,iOS 8.1 Sessions,iOS 8.2 Sessions,iOS 8.3 Sessions,iOS 8.4 Sessions,iOS 9.0 Sessions,iOS 9.1 Sessions,iOS 9.2 Sessions,iOS 9.3 Sessions,iOS 10.0 Sessions,iOS 10.1 Sessions,iOS 10.2 Sessions,iOS 10.3 Sessions,iOS 11.0 Sessions,iOS 11.1 Sessions,iOS 11.2 Sessions,iOS 11.3 Sessions,iOS 11.4 Sessions,iOS 12.0 Sessions,iOS 12.1 Sessions,iOS 12.2 Sessions,iOS 12.3 Sessions,iOS 12.4 Sessions,iOS 12.5 Sessions,iOS 13.0 Sessions,iOS 13.1 Sessions,iOS 13.2 Sessions,iOS 13.3 Sessions,iOS 13.4 Sessions,iOS 13.5 Sessions,iOS 13.6 Sessions,iOS 13.7 Sessions,iOS 14.0 Sessions,iOS 14.1 Sessions,iOS 14.2 Sessions,iOS 14.3 Sessions,iOS 14.4 Sessions,iOS 14.5 Sessions,iOS 14.6 Sessions,iOS 14.7 Sessions,iOS 14.8 Sessions,iOS 15.0 Sessions,iOS 15.1 Sessions,iOS 15.2 Sessions,iOS 15.3 Sessions,iOS 15.4 Sessions,iOS 15.5 Sessions,iOS 15.6 Sessions,iOS 15.7 Sessions,iOS 15.8 Sessions,iOS 16.0 Sessions,iOS 16.1 Sessions,iOS 16.2 Sessions,iOS 16.3 Sessions,iOS 16.4 Sessions,iOS 16.5 Sessions,iOS 16.6 Sessions,iOS 17.0 Sessions,iOS 17.1 Sessions,iOS 17.2 Sessions,macOS 10.14.1 Sessions,macOS 10.14.2 Sessions,macOS 10.14.3 Sessions,macOS 10.14.4 Sessions,macOS 10.14.5 Sessions,macOS 10.14.6 Sessions,macOS 10.15 Sessions,macOS 10.15.1 Sessions,macOS 10.15.2 Sessions,macOS 10.15.3 Sessions,macOS 10.15.4 Sessions,macOS 10.15.5 Sessions,macOS 10.15.6 Sessions,macOS 10.15.7 Sessions,macOS 11.0 Sessions,macOS 11.0.1 Sessions,macOS 11.1 Sessions,macOS 11.2 Sessions,macOS 11.3 Sessions,macOS 11.4 Sessions,macOS 11.5 Sessions,macOS 11.6 Sessions,macOS 12.0 Sessions,macOS 12.1 Sessions,macOS 12.2 Sessions,macOS 12.3 Sessions,macOS 12.4 Sessions,macOS 12.5 Sessions,macOS 12.6 Sessions,macOS 12.7 Sessions,macOS 13.0 Sessions,macOS 13.1 Sessions,macOS 13.2 Sessions,macOS 13.3 Sessions,macOS 13.4 Sessions,macOS 13.5 Sessions,macOS 13.6 Sessions,macOS 14.0 Sessions,macOS 14.1 Sessions,macOS 14.2 Sessions,tvOS 9.0 Sessions,tvOS 9.1 Sessions,tvOS 9.2 Sessions,tvOS 10.0 Sessions,tvOS 10.1 Sessions,tvOS 10.2 Sessions,tvOS 11.0 Sessions,tvOS 11.1 Sessions,tvOS 11.2 Sessions,tvOS 11.3 Sessions,tvOS 11.4 Sessions,tvOS 12.0 Sessions,tvOS 12.1 Sessions,tvOS 12.2 Sessions,tvOS 12.3 Sessions,tvOS 12.4 Sessions,tvOS 13.0 Sessions,tvOS 13.2 Sessions,tvOS 13.3 Sessions,tvOS 13.4 Sessions,tvOS 14.0 Sessions,tvOS 14.2 Sessions,tvOS 14.3 Sessions,tvOS 14.4 Sessions,tvOS 14.5 Sessions,tvOS 14.6 Sessions,tvOS 14.7 Sessions,tvOS 15.0 Sessions,tvOS 15.1 Sessions,tvOS 15.2 Sessions,tvOS 15.3 Sessions,tvOS 15.4 Sessions,tvOS 15.5 Sessions,tvOS 15.6 Sessions,tvOS 16.0 Sessions,tvOS 16.1 Sessions,tvOS 16.2 Sessions,tvOS 16.3 Sessions,tvOS 16.4 Sessions,tvOS 16.5 Sessions,tvOS 16.6 Sessions,tvOS 17.0 Sessions,tvOS 17.1 Sessions,tvOS 17.2 Sessions
10/13/23,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,6.0,1.0,3.0,0.0,6.0,0.0,0.0,5.0,16.0,3.0,15.0,47.0,5.0,28.0,17.0,69.0,596.0,1108.0,1104.0,1602.0,3320.0,5693.0,21612.0,22288.0,0.0,26897.0,79764.0,30757.0,60907.0,8641.0,34471.0,1182906.0,491497.0,14233.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10/14/23,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,3.0,1.0,2.0,0.0,4.0,0.0,0.0,1.0,2.0,8.0,4.0,35.0,3.0,14.0,59.0,53.0,572.0,1031.0,986.0,1599.0,3117.0,5762.0,21166.0,21212.0,0.0,28019.0,78812.0,30102.0,59880.0,8487.0,34040.0,1177500.0,513208.0,14536.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10/15/23,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,20.0,0.0,6.0,0.0,3.0,1.0,3.0,0.0,1.0,2.0,5.0,7.0,3.0,26.0,2.0,25.0,56.0,62.0,599.0,1056.0,1070.0,1655.0,3407.0,5780.0,21996.0,21975.0,0.0,30507.0,85828.0,33009.0,63199.0,8813.0,36077.0,1251418.0,567974.0,16015.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10/16/23,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,21.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,3.0,3.0,7.0,12.0,36.0,25.0,79.0,34.0,96.0,640.0,1107.0,1111.0,1699.0,3327.0,5872.0,22275.0,22204.0,0.0,27843.0,80128.0,30866.0,60999.0,8526.0,34689.0,1184754.0,521788.0,14575.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10/17/23,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0,4.0,2.0,5.0,17.0,19.0,2.0,31.0,34.0,83.0,549.0,1052.0,971.0,1542.0,3074.0,5739.0,20733.0,20662.0,0.0,25503.0,74876.0,28791.0,56849.0,7908.0,32002.0,1105498.0,487640.0,13899.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10/18/23,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,21.0,0.0,0.0,0.0,1.0,0.0,2.0,10.0,2.0,1.0,7.0,8.0,1.0,16.0,9.0,20.0,30.0,44.0,574.0,1049.0,1005.0,1493.0,2859.0,5406.0,19944.0,20428.0,0.0,24362.0,73581.0,28918.0,55049.0,7709.0,31606.0,1079178.0,480436.0,14035.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10/19/23,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,21.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,7.0,34.0,7.0,18.0,52.0,119.0,525.0,1030.0,952.0,1527.0,2913.0,5392.0,20259.0,20456.0,0.0,24818.0,72565.0,28050.0,54587.0,7608.0,31829.0,1065951.0,484347.0,14491.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10/20/23,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,14.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,2.0,7.0,8.0,7.0,43.0,4.0,52.0,33.0,77.0,548.0,1086.0,1003.0,1503.0,2843.0,5236.0,20585.0,20047.0,0.0,24665.0,74230.0,28534.0,56345.0,7926.0,31850.0,1097812.0,506081.0,15684.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10/21/23,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,14.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,10.0,11.0,54.0,2.0,35.0,48.0,92.0,518.0,1128.0,973.0,1516.0,2984.0,5312.0,20552.0,20300.0,0.0,26448.0,77767.0,29863.0,57564.0,7962.0,32635.0,1133415.0,546362.0,17005.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10/22/23,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,1.0,0.0,19.0,1.0,0.0,3.0,0.0,3.0,5.0,6.0,27.0,7.0,52.0,58.0,94.0,553.0,1152.0,931.0,1608.0,3040.0,5967.0,20785.0,20144.0,4.0,27829.0,79107.0,30965.0,59092.0,7727.0,34006.0,1153083.0,567205.0,18062.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
